species,num_strains,iteration,type,size
H_pylori,60,1,pan,3058
H_pylori,60,1,core,1143
H_pylori,60,2,pan,2999
H_pylori,60,2,core,1151
H_pylori,60,3,pan,3013
H_pylori,60,3,core,1159
H_pylori,60,4,pan,3010
H_pylori,60,4,core,1137
H_pylori,65,0,pan,3003
H_pylori,65,0,core,1151
H_pylori,65,1,pan,3018
H_pylori,65,1,core,1142
H_pylori,65,2,pan,3074
H_pylori,65,2,core,1135
H_pylori,65,3,pan,2989
H_pylori,65,3,core,1137
H_pylori,65,4,pan,3168
H_pylori,65,4,core,1143
H_pylori,70,0,pan,3004
H_pylori,70,0,core,1131
H_pylori,70,1,pan,3203
H_pylori,70,1,core,1119
H_pylori,70,2,pan,3332
H_pylori,70,2,core,1113
H_pylori,70,3,pan,3027
H_pylori,70,3,core,1148
H_pylori,70,4,pan,3159
H_pylori,70,4,core,1119
H_pylori,75,0,pan,3156
H_pylori,75,0,core,1119
H_pylori,75,1,pan,3337
H_pylori,75,1,core,1116
H_pylori,75,2,pan,3172
H_pylori,75,2,core,1136
H_pylori,75,3,pan,3279
H_pylori,75,3,core,1128
H_pylori,75,4,pan,3193
H_pylori,75,4,core,1122
H_pylori,80,0,pan,3324
H_pylori,80,0,core,1111
H_pylori,80,1,pan,3177
H_pylori,80,1,core,1120
H_pylori,80,2,pan,3154
H_pylori,80,2,core,1122
H_pylori,80,3,pan,3183
H_pylori,80,3,core,1137
H_pylori,80,4,pan,3197
H_pylori,80,4,core,1117
H_pylori,85,0,pan,3233
H_pylori,85,0,core,1131
H_pylori,85,1,pan,3283
H_pylori,85,1,core,1118
H_pylori,85,2,pan,3279
H_pylori,85,2,core,1123
H_pylori,85,3,pan,3322
H_pylori,85,3,core,1114
H_pylori,85,4,pan,3286
H_pylori,85,4,core,1114
H_pylori,90,0,pan,3330
H_pylori,90,0,core,1115
H_pylori,90,1,pan,3367
H_pylori,90,1,core,1113
H_pylori,90,2,pan,3306
H_pylori,90,2,core,1115
H_pylori,90,3,pan,3356
H_pylori,90,3,core,1112
H_pylori,90,4,pan,3373
H_pylori,90,4,core,1112
M_pneumoniae,0,0,pan,0
M_pneumoniae,0,0,core,0
M_pneumoniae,5,0,pan,878
M_pneumoniae,5,0,core,636
M_pneumoniae,5,1,pan,877
M_pneumoniae,5,1,core,657
M_pneumoniae,5,2,pan,876
M_pneumoniae,5,2,core,659
M_pneumoniae,5,3,pan,865
M_pneumoniae,5,3,core,631
M_pneumoniae,5,4,pan,898
M_pneumoniae,5,4,core,605
M_pneumoniae,10,0,pan,1056
M_pneumoniae,10,0,core,591
M_pneumoniae,10,1,pan,1055
M_pneumoniae,10,1,core,634
M_pneumoniae,10,2,pan,1057
M_pneumoniae,10,2,core,633
M_pneumoniae,10,3,pan,1062
M_pneumoniae,10,3,core,631
M_pneumoniae,10,4,pan,1085
M_pneumoniae,10,4,core,625
M_pneumoniae,15,0,pan,1201
M_pneumoniae,15,0,core,625
M_pneumoniae,15,1,pan,1225
M_pneumoniae,15,1,core,623
M_pneumoniae,15,2,pan,1175
M_pneumoniae,15,2,core,630
M_pneumoniae,15,3,pan,1199
M_pneumoniae,15,3,core,624
M_pneumoniae,15,4,pan,1272
M_pneumoniae,15,4,core,595
M_pneumoniae,20,0,pan,1374
M_pneumoniae,20,0,core,629
M_pneumoniae,20,1,pan,1406
M_pneumoniae,20,1,core,618
M_pneumoniae,20,2,pan,1409
M_pneumoniae,20,2,core,595
M_pneumoniae,20,3,pan,1357
M_pneumoniae,20,3,core,588
M_pneumoniae,20,4,pan,1384
M_pneumoniae,20,4,core,625
M_pneumoniae,25,0,pan,1550
M_pneumoniae,25,0,core,583
M_pneumoniae,25,1,pan,1591
M_pneumoniae,25,1,core,585
M_pneumoniae,25,2,pan,1571
M_pneumoniae,25,2,core,628
M_pneumoniae,25,3,pan,1608
M_pneumoniae,25,3,core,627
M_pneumoniae,25,4,pan,1593
M_pneumoniae,25,4,core,609
M_pneumoniae,30,0,pan,1654
M_pneumoniae,30,0,core,619
M_pneumoniae,30,1,pan,1640
M_pneumoniae,30,1,core,626
M_pneumoniae,30,2,pan,1649
M_pneumoniae,30,2,core,579
M_pneumoniae,30,3,pan,1756
M_pneumoniae,30,3,core,618
M_pneumoniae,30,4,pan,1646
M_pneumoniae,30,4,core,588
M_pneumoniae,35,0,pan,1808
M_pneumoniae,35,0,core,614
M_pneumoniae,35,1,pan,1787
M_pneumoniae,35,1,core,624
M_pneumoniae,35,2,pan,1797
M_pneumoniae,35,2,core,581
M_pneumoniae,35,3,pan,1948
M_pneumoniae,35,3,core,584
M_pneumoniae,35,4,pan,1808
M_pneumoniae,35,4,core,584
M_pneumoniae,40,0,pan,2046
M_pneumoniae,40,0,core,580
M_pneumoniae,40,1,pan,2007
M_pneumoniae,40,1,core,622
M_pneumoniae,40,2,pan,1917
M_pneumoniae,40,2,core,581
M_pneumoniae,40,3,pan,2091
M_pneumoniae,40,3,core,628
M_pneumoniae,40,4,pan,1963
M_pneumoniae,40,4,core,609
M_pneumoniae,45,0,pan,2082
M_pneumoniae,45,0,core,574
M_pneumoniae,45,1,pan,2216
M_pneumoniae,45,1,core,579
M_pneumoniae,45,2,pan,2122
M_pneumoniae,45,2,core,579
M_pneumoniae,45,3,pan,2206
M_pneumoniae,45,3,core,613
M_pneumoniae,45,4,pan,2204
M_pneumoniae,45,4,core,574
M_pneumoniae,50,0,pan,2369
M_pneumoniae,50,0,core,606
M_pneumoniae,50,1,pan,2280
M_pneumoniae,50,1,core,570
M_pneumoniae,50,2,pan,2276
M_pneumoniae,50,2,core,610
M_pneumoniae,50,3,pan,2290
M_pneumoniae,50,3,core,614
M_pneumoniae,50,4,pan,2313
M_pneumoniae,50,4,core,575
M_pneumoniae,55,0,pan,2390
M_pneumoniae,55,0,core,572
M_pneumoniae,55,1,pan,2390
M_pneumoniae,55,1,core,573
M_pneumoniae,55,2,pan,2411
M_pneumoniae,55,2,core,605
M_pneumoniae,55,3,pan,2371
M_pneumoniae,55,3,core,568
M_pneumoniae,55,4,pan,2441
M_pneumoniae,55,4,core,568
M_pneumoniae,60,0,pan,2728
M_pneumoniae,60,0,core,608
M_pneumoniae,60,1,pan,2602
M_pneumoniae,60,1,core,569
M_pneumoniae,60,2,pan,2522
M_pneumoniae,60,2,core,577
M_pneumoniae,60,3,pan,2553
M_pneumoniae,60,3,core,601
M_pneumoniae,60,4,pan,2664
M_pneumoniae,60,4,core,614
M_pneumoniae,65,0,pan,2683
M_pneumoniae,65,0,core,574
M_pneumoniae,65,1,pan,2748
M_pneumoniae,65,1,core,603
M_pneumoniae,65,2,pan,2706
M_pneumoniae,65,2,core,599
M_pneumoniae,65,3,pan,2828
M_pneumoniae,65,3,core,570
M_pneumoniae,65,4,pan,2810
M_pneumoniae,65,4,core,567
M_pneumoniae,70,0,pan,2843
M_pneumoniae,70,0,core,573
M_pneumoniae,70,1,pan,2942
M_pneumoniae,70,1,core,571
M_pneumoniae,70,2,pan,2834
M_pneumoniae,70,2,core,567
M_pneumoniae,70,3,pan,2922
M_pneumoniae,70,3,core,570
M_pneumoniae,70,4,pan,2899
M_pneumoniae,70,4,core,609
M_pneumoniae,75,0,pan,2990
M_pneumoniae,75,0,core,568
M_pneumoniae,75,1,pan,3014
M_pneumoniae,75,1,core,564
M_pneumoniae,75,2,pan,2992
M_pneumoniae,75,2,core,563
M_pneumoniae,75,3,pan,2991
M_pneumoniae,75,3,core,566
M_pneumoniae,75,4,pan,2978
M_pneumoniae,75,4,core,576
M_pneumoniae,80,0,pan,3154
M_pneumoniae,80,0,core,565
M_pneumoniae,80,1,pan,3153
M_pneumoniae,80,1,core,565
M_pneumoniae,80,2,pan,3153
M_pneumoniae,80,2,core,565
M_pneumoniae,80,3,pan,3140
M_pneumoniae,80,3,core,565
M_pneumoniae,80,4,pan,3136
M_pneumoniae,80,4,core,567
M_pneumoniae,85,0,pan,3296
M_pneumoniae,85,0,core,566
M_pneumoniae,85,1,pan,3306
M_pneumoniae,85,1,core,599
M_pneumoniae,85,2,pan,3300
M_pneumoniae,85,2,core,564
M_pneumoniae,85,3,pan,3292
M_pneumoniae,85,3,core,564
M_pneumoniae,85,4,pan,3300
M_pneumoniae,85,4,core,564
M_pneumoniae,90,0,pan,3453
M_pneumoniae,90,0,core,564
M_pneumoniae,90,1,pan,3451
M_pneumoniae,90,1,core,564
M_pneumoniae,90,2,pan,3450
M_pneumoniae,90,2,core,564
M_pneumoniae,90,3,pan,3445
M_pneumoniae,90,3,core,563
M_pneumoniae,90,4,pan,3449
M_pneumoniae,90,4,core,563
